"start24","end24","Applicant","Latitude","Longitude"
10,11,"Golden Catering",37.7111991003088,-122.394693339395
10,11,"Natan's Catering",37.7477067391559,-122.396413656839
10,11,"May Catering",37.7179084879527,-122.391343346823
10,11,"Golden Catering",37.7111428086172,-122.390768390822
10,11,"May Sun Kitchen",37.7811982218612,-122.423315547721
10,11,"Two G's Catering",37.7667867792956,-122.388078331989
10,11,"Two G's Catering",37.7728213280588,-122.390619360681
10,11,"Golden Catering",37.7166561002993,-122.390559039934
10,11,"Two G's Catering",37.7711580369615,-122.386931257562
10,23,"Covered Dish Productions, LLC. dba. The Rib Whip",37.796984468437,-122.397015212071
10,14,"Eva's Catering",37.7477067391559,-122.396413656839
10,15,"Bombay Blvd.",37.7921033879545,-122.397585967453
10,15,"Bombay Blvd.",37.7924309489844,-122.395771565795
10,15,"Bombay Blvd.",37.7885445211484,-122.399019231479
10,15,"Bombay Blvd.",37.7863836212372,-122.402297224865
10,16,"El Tonayense #60",37.7637618472594,-122.413533208474
10,18,"Off the Grid Services, LLC",37.7760385105764,-122.392939332071
10,18,"Santana ESG, Inc.",37.7651967350509,-122.416451692902
10,18,"GOZA GOZA TACO",37.7510138381744,-122.411178883992
10,18,"Kettle Corn Star",37.7861609344287,-122.405127311306
10,18,"Kettle Corn Star",37.7845283055703,-122.407272318144
10,19,"Bob Johnson",37.7325319595578,-122.391815933696
10,19,"El Tonayanse #4 / #36",37.7693456875221,-122.413329888831
10,19,"Bob Johnson",37.782143532929,-122.430449785949
10,20,"Gourmet Kettle Corn",37.8051366970446,-122.432295848298
10,20,"Kabob Trolley, LLC",37.7764065244709,-122.394110513855
10,20,"Halal Cart, LLC",37.7912587083087,-122.398658299327
10,20,"Halal Cart",37.7839488842882,-122.408008279363
10,21,"Got Snacks",37.7759081654088,-122.390058556767
10,21,"Tacos Santana",37.7302332323588,-122.402759048478
22,24,"Panchita's No. 2",37.7648798999969,-122.421594806498
11,22,"Subs on Hubs",37.7714019465879,-122.391771646847
11,12,"Natan's Catering",37.7490358344714,-122.411623966472
11,12,"Natan's Catering",37.764741322675,-122.387124812179
11,12,"Natan's Catering",37.7620084580302,-122.385441811568
